Company,Role,Location,Application/Link,Work Model,Date Posted
Belvedere Trading,New grad 2025: software engineer,"Chicago, IL",,,"Aug 10, 2024"
Amazon,New grad 2024: software dev engineer i - masters,"Seattle, WARedmond, WAPalo Alto, CA",,,"Aug 10, 2024"
Wells Fargo,New grad 2025: analytics and data development program 🛂,"5 locationsCharlotte, NCMinneapolis, MNWest Des Moines, IAChandler, AZDallas, TX",,,"Aug 08, 2024"
NVIDIA,"New grad 2024: software engineer, vlsi design tools","Santa Clara, CA",,,"Aug 07, 2024"
Boston Consulting Group,New grad 2025: ai software engineer,"12 locationsBoston, MALos Angeles, CASeattle, WASan Francisco, CAManhattan Beach, CADallas, TXMiami, FLBrooklyn, NYNew York, NYPittsburgh, PAWashington, DCChicago, IL",,,"Aug 07, 2024"
Databricks,New grad 2025: software engineer,"Bellevue, WA",,,"Aug 05, 2024"
Databricks,"New grad 2025: software engineer, distributed data systems","Mountain View, CA",,,"Aug 05, 2024"
Databricks,"New grad 2025: software engineer, distributed data systems","Bellevue, WA",,,"Aug 05, 2024"
Databricks,New grad 2025: software engineer,"Mountain View, CA",,,"Aug 05, 2024"
Amazon,New grad 2024: software dev engineer,"5 locationsSeattle, WASanta Clara, CAArlington, VADenver, COHerndon, VA",,,"Aug 05, 2024"
Amazon,New grad 2024: software dev engineer,"7 locationsSeattle, WASanta Clara, CARedmond, WABellevue, WANew York, NYPalo Alto, CAVancouver, WA",,,"Aug 05, 2024"
Verkada,New grad 2024: backend software engineer,"San Mateo, CA",,,"Aug 04, 2024"
ServiceNow,Associate software engineer,"San Diego, CA",,,"Aug 02, 2024"
Johnson & Johnson,New grad 2025: technology program 🛂,Too many,,,"Aug 02, 2024"
Vanguard,Entry level 2025: application engineer,"Charlotte, NC",,,"Aug 01, 2024"
Vanguard,Entry level 2025: application engineer,"Malvern, PA",,,"Aug 01, 2024"
Teradyne,New graduate software engineer 🛂,"North Reading, MA",,,"Aug 01, 2024"
Sentry,New grad 2025: software engineer,"San Francisco, CA",,,"Aug 01, 2024"
NVIDIA,New grad 2024: software engineer,"Santa Clara, CA",,,"Aug 01, 2024"
Confluent,New grad 2025: software engineer,"Austin, TX",,,"Aug 01, 2024"
Ramp,New grad 2025: software engineer - backend,"New York, NY",,,"Jul 31, 2024"
Wayfair,Software engineer i,"Boston, MA",,,"Jul 29, 2024"
SIG,Quantitative developer - new grad,"Philadelphia, PA",,,"Jul 29, 2024"
Openeye,Software engineer i,"Liberty Lake, WA",,,"Jul 29, 2024"
Navan,University graduate - software engineer (front-end),"Palo Alto, CA",,,"Jul 29, 2024"
Jackson,Software developer i,"Lansing, MI",,,"Jul 29, 2024"
Google,Early career software engineer,"19 locationsMountain View, CAAtlanta, GAAustin, TXBoulder, COBellevue, WACambridge, MAIrvine, CAKirkland, WALos Angeles, CANew York, NYPittsburgh, PARaleigh, NCDurham, NCReston, VASan Bruno, CASeattle, WASan Francisco, CASan Jose, CASunnyvale, CA",,,"Jul 29, 2024"
FIS Global,Frontend software engineer,"Seattle, WA",,,"Jul 29, 2024"
Cosco,Software developer 1,"Chicago, IL",,,"Jul 29, 2024"
Amazon,Software dev engineer i,"Seattle, WAArlington, VA",,,"Jul 29, 2024"
Affirm,Early career software engineer,"Chicago, IL",,,"Jul 29, 2024"
Twilio,Software engineer - new graduate (2024 recent grads),"Remote, US",,,"Jul 27, 2024"
The Walt Disney Company,Software engineer i,"New York, NYSanta Monica, CASeattle, WA",,,"Jul 27, 2024"
Navan,University 2024 graduate - software engineer (back-end),"Palo Alto, CA",,,"Jul 27, 2024"
Medallion,"Software engineer, new grad","Remote, US",,,"Jul 26, 2024"
Adobe,2025 university graduate - software development engineer,"San Jose, CA",,,"Jul 25, 2024"
TikTok,Software engineer graduate (tiktok short video) - 2025 start (bachelors/master),"Seattle, WA",,,"Jul 23, 2024"
Jerry,New graduate software engineer,"Palo Alto, CA",,,"Jul 23, 2024"
Blue Origin,Software engineer early career - verification,"Seattle, WA",,,"Jul 23, 2024"
Verkada,Embedded software engineer - university graduate 2024,"San Mateo, CA",,,"Jul 21, 2024"
NVIDIA,"Developer technology engineer, ai - new college graduate 2024 (ms/phd only)","6 locationsSanta Clara, CAAustin, TXDurham, NCRedmond, WASalt Lake City, UTBoulder, CO",,,"Jul 21, 2024"
IMC,Graduate software engineer,"Chicago, IL",,,"Jul 20, 2024"
Tesla,"Software engineer, correctness & reliability","Palo Alto, CA",,,"Jul 14, 2024"
AMD,Ml compiler software development engineer,"San Jose, CA",,,"Jul 14, 2024"
Google,"Software engineer, ai/machine learning","13 locationsMountain View, CAAustin, TXBoulder, COCambridge, MAKirkland, WALos Angeles, CANew York, NYRaleigh, NCDurham, NCSan Bruno, CASeattle, WASan Francisco, CASunnyvale, CA",,,"Jul 12, 2024"
SIG,Network engineer,"Bala Cynwyd, PA",,,"Jul 11, 2024"
Pure Storage,"Software engineer grad, hyperscale","Santa Clara, CA",,,"Jul 11, 2024"
Jane Street,Software engineer,"New York, NY",,,"Jul 11, 2024"
ElectronX,New grad: software engineer,"New York, NYChicago, IL",,,"Jul 11, 2024"
Comcast,Jr. devops engineer,"Englewood, COPhiladelphia, PA",,,"Jul 11, 2024"
Old Mission Capital,Junior quant trader,"Chicago, IL",,,"Jul 09, 2024"
Google,"User experience designer, early career","Mountain View, CASan Francisco, CA",,,"Jul 09, 2024"
DRW,Software developer,"Chicago, IL",,,"Jul 09, 2024"
Adobe,Machine learning engineer - masters/phd,"San Jose, CA",,,"Jul 09, 2024"
Capital One,Business analyst associate,"5 locationsMcLean, VirginiaRichmond, VirginiaPlano, TexasNew York, New YorkChicago, Illinois",,,"Jul 08, 2024"
Ramp,Software engineer - frontend,"New York, NY",,,"Jul 07, 2024"
Salesforce,Software engineering amts/mts – new grad,"11 locationsCambridge, MASeattle, WAIndianapolis, INSFRemote in USAMcLean, VAChicago, ILNYCBellevue, WAAtlanta, GABurlington, MA",,,"Jul 01, 2024"
Palantir,Forward deployed software engineer – new grad,NYC,,,"Jul 01, 2024"
Dept of health/mental hygiene,"Quality Management Coordinator, Bureau of the Public Health Laboratory","New York, NY",https://a127-jobs.nyc.gov,,"Apr 23, 2024"
Department of transportation,School Safety Inspector - RIS,"New York, NY",https://www.nyc.gov,On Site,"Nov 21, 2024"
Office of the comptroller,Senior Attorney â Litigation Unit,"New York, NY",https://www.comptroller.nyc.gov,,"Oct 27, 2023"
Dept of design & construction,CADD Designer,"New York, NY",,,"Dec 28, 2023"
Dept of environment protection,Senior Inspector,"New York, NY",,On Site,"Jan 22, 2024"
Office of management & budget,Analyst  Health,"New York, NY",https://www.nyc.gov,On Site,"Oct 1, 2024"
Dept of environment protection,MECHANICAL ENGINEERING INTERN,"New York, NY",,On Site,"Oct 14, 2022"
Consumer and worker protection,Inspector - 683664,"New York, NY",https://studentaid.ed.gov,,"Oct 9, 2024"
Hra/dept of social services,CASE COORDINATOR,"New York, NY",,On Site,"Aug 7, 2024"
Dept of environment protection,MACHINIST,"New York, NY",,,"Jan 30, 2023"
Dept of environment protection,Associate Water Use Inspector I,"New York, NY",,On Site,"Oct 25, 2022"
Dept of health/mental hygiene,"Special Assistant, Bureau of Vital Statistics","New York, NY",,,"Oct 31, 2024"
Dept of environment protection,EHS Training Specialist,"New York, NY",,,"Jul 30, 2024"
Dept of environment protection,Chief of Permitting and Review,"New York, NY",,,"Sep 10, 2024"
Nyc housing authority,HOUSING EXTERMINATOR (HA),"New York, NY",,,"Jan 23, 2023"
Dept of parks & recreation,Project Development Coordinator for Queens,"New York, NY",,,"Nov 22, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Sep 23, 2024"
Housing preservation & dvlpmnt,Client Services Specialist for the Division of Tenant & Owner Resources,"New York, NY",,,"Oct 2, 2024"
Consumer and worker protection,General Services Manager - 650355,"New York, NY",https://studentaid.ed.gov,,"Sep 5, 2024"
Bronx district attorney,IT Quality Assurance Analyst,"New York, NY",https://cityjobs.nyc.gov,,"Apr 29, 2024"
Office of the comptroller,College Aide - Human Resources,"New York, NY",,,"Oct 15, 2024"
Office of management & budget,Analyst   OTI,"New York, NY",https://www.nyc.gov,On Site,"Jul 3, 2024"
Bronx district attorney,Digital Forensic Examiner III,"New York, NY",https://cityjobs.nyc.gov,,"Jun 17, 2024"
Nyc housing authority,Administrative Management Auditor,"New York, NY",,,"Mar 13, 2024"
District attorney kings county,Assistant Manager,"New York, NY",,,"Sep 6, 2024"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,,"Sep 17, 2024"
Dept of environment protection,Emergency Manager,"New York, NY",,,"Aug 14, 2024"
Dept of environment protection,Emergency Construction Engineer in Charge - Environmental Engineer II,"New York, NY",,,"Oct 28, 2024"
Law department,"Assistant Corporation Counsel, Tort Division","New York, NY",,,"Jul 31, 2024"
Dept of health/mental hygiene,"Program Specialist, Treatment, Rehabilitation & Care Coordination Services","New York, NY",,,"Nov 8, 2024"
Dept of health/mental hygiene,"Director of Healthcare Coalition Operations, Bureau of Healthcare and Community Readiness","New York, NY",,,"Sep 24, 2024"
Hra/dept of social services,OMBUDSMAN WORKER,"New York, NY",,,"Apr 22, 2024"
Department of transportation,Supervisor Highway Repairer,"New York, NY",https://www.nyc.gov,On Site,"Jun 22, 2023"
Hra/dept of social services,DIRECTOR OF CONTRACT BUDGETS,"New York, NY",,On Site,"Jan 10, 2024"
Housing preservation & dvlpmnt,"Administrative Support, Division of Code Enforcement - CODE","New York, NY",,On Site,"Oct 23, 2024"
Dept of environment protection,Permit Coordinator,"New York, NY",,,"Jan 22, 2024"
Bronx district attorney,Expeditor - Early Case Assessment Bureau,"New York, NY",https://cityjobs.nyc.gov,,"Jun 17, 2024"
Dept of environment protection,Energy Portfolio Manager,"New York, NY",https://www1.nyc.gov,On Site,"Aug 1, 2022"
Dept of health/mental hygiene,"Health Planning & Engagement Analyst,  Bureau of Equitable Health Systems","New York, NY",,,"Sep 26, 2024"
Office of the comptroller,Lead Auditor (various positions),"New York, NY",,,"Oct 28, 2024"
Department of correction,Deputy General Counsel,"New York, NY",https://www.nyc.gov,,"Mar 23, 2022"
Dept of health/mental hygiene,"Phlebotomist, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Department of transportation,Project Manager,"New York, NY",https://www.nyc.gov,,"Oct 6, 2022"
Dept of health/mental hygiene,"NHVP Site Director Manhattan, Bureau of Maternal Infant and Reproductive Health","New York, NY",,,"Oct 2, 2024"
Department of transportation,Civil Engineer II,"New York, NY",https://www.nyc.gov,On Site,"Nov 17, 2022"
Department of transportation,Over Dimensional Vehicle Router,"New York, NY",https://www.nyc.gov,,"Dec 12, 2022"
Hra/dept of social services,DEPUTY DIRECTOR,"New York, NY",,,"Nov 3, 2023"
Nyc housing authority,Fire Safety Technician,"New York, NY",,,"Nov 7, 2024"
Dept of environment protection,SCADA Support Specialist,"New York, NY",,On Site,"Apr 23, 2023"
Dept of environment protection,WATERSHED MAINTAINER,"New York, NY",,,"Aug 13, 2023"
Dept of environment protection,Civil Engineer II,"New York, NY",,On Site,"May 16, 2023"
Dept of environment protection,Project Manager,"New York, NY",,On Site,"Apr 29, 2024"
Dept of health/mental hygiene,"Energy Engineer, Bureau of Facilities Planning and Administrative Services","New York, NY",,,"Aug 23, 2024"
Department of transportation,Project Engineer,"New York, NY",,On Site,"Sep 21, 2023"
Department of transportation,Greenways Project Lead - Office of Livable Streets,"New York, NY",https://www.nyc.gov,On Site,"Jul 27, 2024"
Dept of health/mental hygiene,"Special Assistant to the Deputy Commissioner, Division Management & Systems Coordination","New York, NY",,,"Nov 20, 2024"
Department of transportation,Project Manager,"New York, NY",https://hrb.nycaps.nycnet,,"Jan 18, 2024"
Dept of health/mental hygiene,"Director of Provider Oversight, Bureau of Early Intervention","New York, NY",https://a127-jobs.nyc.gov,,"Mar 26, 2024"
Department of transportation,Community Coordinator,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Mar 22, 2024"
Dept of design & construction,Project Manager,"New York, NY",,,"Feb 29, 2024"
Dept of environment protection,EHS Training Specialist,"New York, NY",,,"Jul 30, 2024"
Dept of health/mental hygiene,"Supervising Physician (Part-Time), Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"Feb 1, 2024"
Dept of environment protection,BEC Policy Analyst,"New York, NY",,On Site,"Sep 26, 2024"
Nyc housing authority,ADMINISTRATIVE STAFF ANALYST,"New York, NY",,,"Nov 8, 2024"
Department of transportation,Assistant General Counsel,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 11, 2024"
Office of emergency management,PROCUREMENT PROGRAM MANAGER,"New York, NY",https://cityjobs.nyc.gov,On Site,"Oct 11, 2024"
Department of investigation,Paralegal,"New York, NY",https://www.nyc.gov,,"Nov 20, 2024"
Nyc housing authority,SUPERVISOR PLUMBER,"New York, NY",,,"Apr 13, 2022"
Department of correction,Assistant General Counsel,"New York, NY",https://www.nyc.gov,,"May 22, 2024"
Department of transportation,Administrative Support / Searcher,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Feb 16, 2024"
Dept of design & construction,CADD Designer,"New York, NY",,,"Dec 28, 2023"
District attorney-manhattan,Spanish Interpreter,"New York, NY",,,"Aug 16, 2024"
Dept of environment protection,BEC Policy Analyst,"New York, NY",,On Site,"Aug 14, 2024"
Hra/dept of social services,"ASSISTANT DEPUTY COMMISSIONER, DATA SECURITY OPERATIONS","New York, NY",,,"Sep 13, 2024"
Dept of environment protection,Contract and Administration Unit Lead,"New York, NY",,On Site,"Oct 25, 2022"
Dept of health/mental hygiene,"Data Analyst,  Bureau of Application Development and Database Administration","New York, NY",https://a127-jobs.nyc.gov,,"May 16, 2024"
Law department,"Attorney, Interstate Child Support Unit","New York, NY",,,"Oct 9, 2024"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,,"Jun 28, 2024"
Nyc housing authority,Community Planner,"New York, NY",,,"Nov 21, 2024"
Dept of design & construction,Senior Program Coordinator,"New York, NY",,On Site,"Oct 19, 2023"
Dept of design & construction,Project Manager,"New York, NY",,,"Jul 25, 2024"
Department of transportation,Project Engineer,"New York, NY",https://www.nyc.gov,On Site,"Feb 1, 2023"
Nyc housing authority,Compliance Intern,"New York, NY",,,"Sep 19, 2024"
Dept of environment protection,"Assistant Commissioner, Coastal Infrastructure Operations","New York, NY",https://www1.nyc.gov,On Site,"Mar 20, 2024"
Dept of citywide admin svcs,Director of Engineering,"New York, NY",https://www.nyc.gov,,"Oct 23, 2024"
Dept of design & construction,Engineer-In-Charge,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 8, 2023"
Department of correction,Senior Correctional Institution Administrator,"New York, NY",https://www.nyc.gov,,"Feb 4, 2022"
Hra/dept of social services,EMPLOYEE PROCESSING REPRESENTATIVE,"New York, NY",,On Site,"Mar 29, 2024"
Dept of health/mental hygiene,Child Care Inspector,"New York, NY",,,"Nov 12, 2024"
Hra/dept of social services,"ASSISTANT DEPUTY COMMISSIONER, OFFICE OF BUSINESS STRATEGIES AND SOLUTIONS (OBSS) AND DISABILITY SERVICES PROGRAM (DSP)","New York, NY",,On Site,"Dec 20, 2023"
Dept of health/mental hygiene,"X-Ray Technician II, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Mar 26, 2024"
Department of transportation,BOB- Contract Coordinator,"New York, NY",https://www.nyc.gov,On Site,"Jun 21, 2024"
Department of sanitation,AUTO MECHANIC (4 Day Temp),"New York, NY",https://www.nyc.gov,,"Jul 22, 2024"
Dept of environment protection,IT Support Specialist,"New York, NY",,On Site,"Apr 8, 2023"
Dept of design & construction,Engineer (Specification),"New York, NY",,,"Feb 16, 2024"
Consumer and worker protection,IT OPS Intern - 687793,"New York, NY",,,"Nov 8, 2024"
Dept of health/mental hygiene,"Data Analyst,  Bureau of Application Development and Database Administration","New York, NY",https://a127-jobs.nyc.gov,,"May 16, 2024"
Dept of design & construction,Fleet Assistant,"New York, NY",,,"Apr 29, 2024"
Dept of design & construction,OMB Data Analyst,"New York, NY",,,"Aug 21, 2024"
District attorney richmond cou,Senior Detective Investigator/Tech Team Supervisor,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 6, 2024"
Dept of health/mental hygiene,"Director of Training & Outreach, Bureau of Tuberculosis Control","New York, NY",,,"Oct 31, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,,"Jun 24, 2024"
Hra/dept of social services,SPECIAL ASSISTANT,"New York, NY",,,"Mar 6, 2024"
Dept of environment protection,Assistant Supervisor of the Wards Island Priority Pollutants Laboratory,"New York, NY",,On Site,"Jun 15, 2023"
Dept of citywide admin svcs,Senior Project Manager,"New York, NY",https://www.nyc.gov,,"Oct 3, 2024"
Police department,Staff Analyst Trainee,"New York, NY",,,"Nov 25, 2024"
Dept of health/mental hygiene,"Compliance Technician, Bureau of Network Technology Services","New York, NY",https://a127-jobs.nyc.gov,,"Apr 10, 2024"
Dept of parks & recreation,Cyber Security Specialist,"New York, NY",,,"Nov 15, 2024"
Department of transportation,BOB- Site Safety Officer,"New York, NY",,On Site,"Apr 10, 2024"
Housing preservation & dvlpmnt,Clerical Support for the Division of Code Enforcement (CODE LEAD),"New York, NY",,On Site,"Aug 24, 2023"
Dept of environment protection,Industrial Hygienist,"New York, NY",,On Site,"Mar 24, 2023"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Apr 29, 2024"
Dept of design & construction,Lead Data Management Specialist,"New York, NY",,,"Jul 29, 2024"
Hra/dept of social services,HOUSING COURT APPLICATIONS PROCESSOR TEAM LEADER,"New York, NY",,,"Nov 8, 2024"
Department of transportation,BOB- Environmental Compliance Specialist,"New York, NY",https://www.nyc.gov,On Site,"Nov 8, 2024"
Bronx district attorney,Bureau Chief - Community Justice Bureau,"New York, NY",,,"Sep 10, 2024"
Dept of health/mental hygiene,"CIR Provider Data Management Specialist, Bureau of Immunization","New York, NY",https://a127-jobs.nyc.gov,,"Feb 2, 2024"
Consumer and worker protection,Staff Counsel - 650352,"New York, NY",https://studentaid.ed.gov,,"Sep 4, 2024"
Hra/dept of social services,RENTAL ASSISTANCE UNIT (RAU) SUPERVISOR,"New York, NY",,,"Apr 19, 2024"
Dept of design & construction,Director (Capital Payments),"New York, NY",,,"Jun 11, 2024"
Bronx district attorney,Senior Planning Analyst,"New York, NY",,,"Sep 25, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Apr 29, 2024"
Dept of health/mental hygiene,"Lead Home Visitor, Bureau of Maternal Infant and Reproductive Health","New York, NY",,,"Oct 9, 2024"
Dept of health/mental hygiene,"Nurse Case Manager and Provider Liaison, Bureau of Hepatitis, HIV and STI","New York, NY",,,"Nov 9, 2024"
Financial info svcs agency,BUSINESS ANALYST,"New York, NY",https://www.nyc.gov,On Site,"Apr 30, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Jan 2, 2024"
Department of transportation,Engineer-In-Charge,"New York, NY",https://www.nyc.gov,On Site,"Sep 23, 2022"
Dept of health/mental hygiene,"Data & Evaluation Associate, Relay,  Bureau of Alcohol and Drug Use Prevention, Care and Treatment","New York, NY",,,"Oct 1, 2024"
Dept of design & construction,Senior Design Reviewer (Sustainability),"New York, NY",https://http://www.nyc.gov,On Site,"May 7, 2024"
Dept of environment protection,Policy Analyst,"New York, NY",https://www1.nyc.gov,On Site,"Feb 2, 2023"
District attorney richmond cou,Community Liaison,"New York, NY",https://a127-jobs.nyc.gov,,"Sep 13, 2024"
Dept of health/mental hygiene,"Director of The Health and Justice Epi Center, Health Promotion for Justice-Impacted Populations","New York, NY",https://a127-jobs.nyc.gov,,"Apr 9, 2024"
Dept of design & construction,Senior Deputy Director,"New York, NY",,,"Oct 24, 2024"
Dept of environment protection,Energy Engineer,"New York, NY",https://www1.nyc.gov,On Site,"Oct 6, 2023"
Dept of health/mental hygiene,"Director of The Health and Justice Epi Center, Health Promotion for Justice-Impacted Populations","New York, NY",https://a127-jobs.nyc.gov,,"Apr 9, 2024"
Admin for children's svcs,Quality Assurance Supervisor,"New York, NY",https://www.nyc.gov,,"May 4, 2023"
Hra/dept of social services,SPECIAL ASSISTANT,"New York, NY",,,"Jun 18, 2024"
Department of transportation,Agency Attorney III,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 24, 2023"
Dept of design & construction,Engineer-In-Charge,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 8, 2023"
Dept of environment protection,Chief Policy Analyst,"New York, NY",,On Site,"Sep 24, 2024"
Dept of records & info service,STATIONARY ENGINEER,"New York, NY",,,"Jul 11, 2024"
Mayors office of contract svcs,"Product Specialist, Mayor's Office for Economic Opportunity","New York, NY",,,"Sep 18, 2024"
Dept of environment protection,CITY RESEARCH SCIENTIST,"New York, NY",,On Site,"Feb 2, 2023"
Dept of environment protection,BLUEBELT PLANNING SUPERVISOR,"New York, NY",,,"May 4, 2023"
Dept of health/mental hygiene,"Program Evaluation and Equity Data Manager, Bureau of Immunization","New York, NY",,,"Sep 5, 2024"
Dept of environment protection,Supervisor Electrician,"New York, NY",,,"Jul 14, 2023"
Dept of environment protection,Scientist (Water Ecology) II,"New York, NY",,On Site,"Apr 8, 2023"
Dept of health/mental hygiene,Forensic Mortuary Technician I,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 8, 2024"
Dept of citywide admin svcs,"Planner Assistant, College Aide","New York, NY",https://www.nyc.gov,,"Nov 15, 2024"
Department of transportation,Searcher/Testifier (Per Diem),"New York, NY",https://hrb.nycaps.nycnet,On Site,"May 16, 2024"
Technology & innovation,"Press Secretary, MOME","New York, NY",https://www.cityjobs.nyc.gov,,"Jul 15, 2024"
Department of transportation,BOB-Clerical Associate III,"New York, NY",https://www.nyc.gov,On Site,"Jul 7, 2024"
District attorney-manhattan,Senior Labor Relations Administrator,"New York, NY",,,"Jul 31, 2024"
Department of transportation,Assistant General Counsel,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 10, 2024"
Dept. of homeless services,DEPUTY COMMISSIONER OF SHELTER INTAKE,"New York, NY",,On Site,"Apr 26, 2023"
Dept of health/mental hygiene,"Supervisor, Bureau of Food Safety and Community Sanitation's (BFSCS)","New York, NY",,,"Oct 23, 2024"
Consumer and worker protection,Community Affairs Associate - 686725,"New York, NY",https://studentaid.ed.gov,,"Nov 1, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Apr 29, 2024"
Admin for children's svcs,Unit Supervisor,"New York, NY",,,"Jun 30, 2022"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 30, 2024"
Dept of health/mental hygiene,"Clinical Care Coordinator, Mental Health","New York, NY",,,"Sep 13, 2024"
Office of the comptroller,Director of Accounting Standards and Risk Management,"New York, NY",,,"Oct 4, 2024"
Bronx district attorney,Certified IT Developer (Application),"New York, NY",,,"Jul 18, 2022"
Dept of health/mental hygiene,"Nurse Practitioner III, Bureau of Public Health Clinics","New York, NY",,,"Oct 1, 2024"
Hra/dept of social services,ASSOCIATE BENEFITS OPPORTUNITY SPECIALIST,"New York, NY",,On Site,"Aug 3, 2023"
Consumer and worker protection,Assistant Director - 685238,"New York, NY",https://studentaid.ed.gov,,"Oct 22, 2024"
Dept of environment protection,PORTFOLIIO MANAGER,"New York, NY",,,"May 22, 2024"
Dept of health/mental hygiene,"Early Intervention Official Designee, Bureau of Early Intervention","New York, NY",https://a127-jobs.nyc.gov,,"Mar 26, 2024"
Dept of environment protection,Senior EHS Specialist â Assessments and Measurement,"New York, NY",,On Site,"Jan 2, 2024"
Hra/dept of social services,SENIOR CRPU SPECIALIST,"New York, NY",,,"Apr 30, 2024"
Hra/dept of social services,ACCOUNT ADJUSTMENT ADJUSTER,"New York, NY",,,"Jun 18, 2024"
Dept of environment protection,Associate Energy Project Manager - Expense,"New York, NY",https://www1.nyc.gov,On Site,"Oct 8, 2024"
Dept of design & construction,Resident Engineer,"New York, NY",,,"Dec 4, 2023"
Department of transportation,BOB- Manager of Design,"New York, NY",https://www.nyc.gov,On Site,"Nov 23, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Aug 22, 2024"
Dept of health/mental hygiene,"Clinic Manager, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Jun 18, 2024"
Dept of environment protection,Cost Estimating Manager,"New York, NY",,,"Jan 2, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Apr 30, 2024"
Department of transportation,Project Manager,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Mar 14, 2022"
Bronx district attorney,Detective Investigator,"New York, NY",,,"Jan 24, 2023"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Sep 23, 2024"
Dept of health/mental hygiene,"Program Manager, Relay, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment","New York, NY",https://a127-jobs.nyc.gov,,"May 23, 2024"
District attorney-manhattan,Victim Services Advocate (Jewish Community Advocate),"New York, NY",,,"Jul 17, 2024"
Office of the comptroller,College Aide - Web Developer,"New York, NY",,,"Sep 24, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Aug 21, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Sep 23, 2024"
Hra/dept of social services,PARALEGAL AIDE,"New York, NY",,On Site,"May 7, 2024"
Department of buildings,Assistant Chief Plan Examiner,"New York, NY",,,"Nov 13, 2024"
Off of payroll administration,Check Replacement Associate,"New York, NY",https://www.nyc.gov,On Site,"Jul 15, 2024"
Dept of design & construction,Engineer-In-Charge,"New York, NY",,,"Aug 15, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Nov 6, 2024"
Dept of environment protection,Clerical Associate,"New York, NY",,,"Mar 1, 2023"
Department of buildings,"Executive Architect, Existing Buildings Compliance","New York, NY",,,"Nov 21, 2024"
Dept of environment protection,Senior Laboratory Analyst,"New York, NY",,On Site,"Sep 26, 2024"
Human rights commission,AGENCY ATTORNEY I,"New York, NY",,On Site,"Jan 26, 2024"
Taxi & limousine commission,Human Resources Associate,"New York, NY",,On Site,"Nov 7, 2024"
Dept of environment protection,"Director, EHS Performance Measurement and Strategic Planning","New York, NY",,On Site,"Mar 14, 2024"
Office of the comptroller,Economic Development Research Analyst,"New York, NY",,,"Oct 4, 2024"
Admin for children's svcs,Child Protective Manager,"New York, NY",,,"Jun 30, 2022"
Department of transportation,Creative Director,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Nov 20, 2024"
Dept of environment protection,Collections Specialist,"New York, NY",,On Site,"Aug 5, 2022"
Hra/dept of social services,"DIRECTOR, DATA ANALYTIC, REPORTING & TRIAGE (DART)","New York, NY",,On Site,"Oct 6, 2023"
Dept of environment protection,"SECTION MANAGER, CIVIL","New York, NY",,,"Mar 18, 2024"
Housing preservation & dvlpmnt,Cloud Administrator for the Division of HPD TECH,"New York, NY",,,"Nov 25, 2024"
Department of correction,"Deputy Director, EISS Unit","New York, NY",https://www.nyc.gov,,"Oct 8, 2024"
Dept of health/mental hygiene,"Contract Nurse Liaison, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"May 13, 2024"
Dept of design & construction,Deputy Director,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 27, 2023"
Dept of environment protection,"Division Chief, Contractor Maintenance","New York, NY",,On Site,"Jan 22, 2024"
Department of transportation,Contract Coordinator,"New York, NY",https://www.nyc.gov,On Site,"Aug 24, 2023"
Dept of health/mental hygiene,Childcare Inspection Supervisor,"New York, NY",,,"Oct 11, 2024"
